,IPsrc,Latencia
0,192.168.96.1,85.30550797780354
1,192.168.0.1,79.9248499028823
2,*,0.0
3,*,0.0
4,*,0.0
5,*,0.0
6,181.96.103.168,450.0439167022705
7,8.243.138.29,107.13329580095079
8,4.69.207.33,220.0026512145996
9,4.68.110.158,227.6066541671753
10,63.243.152.34,259.9282100282866
11,66.198.154.177,237.57389386494955
12,63.243.137.133,241.82798067728677
13,216.6.87.43,243.5861587524414
14,216.6.57.5,237.48958110809326
15,209.58.124.6,425.25094350179035
16,*,0.0
17,14.140.210.22,457.2609027226766
18,*,0.0
19,*,0.0
20,*,0.0
21,103.27.9.24,466.5937026341756
22,103.27.9.24,473.16040992736816
23,103.27.9.24,466.42518043518066
